Rk;Player;Salary;Team 
5;Brent Barry;5400000;OKC
6;Jerome James;5000600;OKC
7;Antonio Daniels;2200000;OKC
8;Vladimir Radmanovic;1669800;OKC
9;Nick Collison;1578240;OKC
10;Luke Ridnour;1424400;OKC
11;Joseph Forte;1080360;OKC
12;Reggie Evans;700000;OKC
13;Ansu Sesay;688679;OKC
14;Ronald Murray;563679;OKC
15;Richie Frahm;366931;OKC
1;Grant Hill;13279750;ORL
2;Tracy McGrady;13279750;ORL
3;Juwan Howard;4917000;ORL
4;Drew Gooden;3004560;ORL
5;Pat Garrity;2643750;ORL
6;Andrew DeClercq;2500000;ORL
7;Gordan Giricek;1540000;ORL
8;Tyronn Lue;1500000;ORL
9;Steven Hunter;1431600;ORL
10;Reece Gaines;1353120;ORL
11;Jeryl Sasser;1125729;ORL
12;Monty Williams;1000000;ORL
13;Rod Strickland;887317;ORL
14;Shammond Williams;751179;ORL
15;Robert Archibald;563679;ORL
16;Keith Bogans;366931;ORL
17;Zaza Pachulia;366931;ORL
18;Britton Johnsen;44748;ORL
19;Derrick Dial;32375;ORL
1;Allen Iverson;13500000;PHI
2;Glenn Robinson;10730000;PHI
3;Kenny Thomas;5500000;PHI
4;Todd MacCulloch;5445600;PHI
5;Aaron McKie;5000000;PHI
6;Eric Snow;4500000;PHI
7;Derrick Coleman;4000000;PHI
8;Marc Jackson;3900000;PHI
9;Greg Buckner;2640000;PHI
10;Efthimi Rentzias;971160;PHI
11;Samuel Dalembert;887160;PHI
12;John Salmons;865320;PHI
13;Amal McCaskill;688679;PHI
14;Sam Clancy;563679;PHI
15;Zendon Hamilton;485619;PHI
16;Willie Green;366931;PHI
17;Kyle Korver;366931;PHI
1;Anfernee Hardaway;13500000;PHO
2;Stephon Marbury;13500000;PHO
3;Tom Gugliotta;11670000;PHO
4;Shawn Marion;10960000;PHO
5;Jahidi White;5676091;PHO
6;Amare Stoudemire;1899720;PHO
7;Joe Johnson;1850160;PHO
8;Cezary Trybanski;1600000;PHO
9;Jake Voskuhl;1500000;PHO
10;Zarko Cabarkapa;1221240;PHO
11;Scott Williams;1070000;PHO
12;Casey Jacobsen;1011600;PHO
13;Leandro Barbosa;809280;PHO
14;Donnell Harvey;663679;PHO
1;Rasheed Wallace;17000000;POR
2;Shawn Kemp;14941935;POR
3;Damon Stoudamire;12375000;POR
4;Dale Davis;9061875;POR
5;Derek Anderson;7794000;POR
6;Wesley Person;7700000;POR
7;Ruben Patterson;5445600;POR
8;Jeff McInnis;3300000;POR
9;Zach Randolph;1172160;POR
10;Qyntel Woods;1053720;POR
11;Travis Outlaw;941040;POR
12;Vladimir Stepania;751179;POR
13;Ruben Boumtje-Boumtje;663679;POR
14;Matt Carroll;349032;POR
15;Kaniel Dickens;264011;POR
16;Tracy Murray;143537;POR
1;Chris Webber;15937500;SAC
2;Vlade Divac;12051510;SAC
3;Mike Bibby;9500000;SAC
4;Brad Miller;7000000;SAC
5;Doug Christie;6900000;SAC
6;Peja Stojakovic;6250000;SAC
7;Lawrence Funderburke;3600000;SAC
8;Bobby Jackson;2925000;SAC
9;Tony Massenburg;1070000;SAC
10;Anthony Peeler;1070000;SAC
11;Gerald Wallace;917520;SAC
12;Jabari Smith;638679;SAC
13;Darius Songaila;366931;SAC
14;Rodney Buford;145686;SAC
1;Tim Duncan;12676125;SAS
2;Ron Mercer;6750000;SAS
3;Rasho Nesterovic;5600000;SAS
4;Malik Rose;4916250;SAS
5;Robert Horry;4500000;SAS
6;Bruce Bowen;3650000;SAS
7;Hedo Turkoglu;1995611;SAS
8;Manu Ginobili;1457500;SAS
9;Kevin Willis;1070000;SAS
10;Tony Parker;856200;SAS
11;Anthony Carter;751179;SAS
12;Jason Hart;638679;SAS
13;Sean Marks;596295;SAS
14;Devin Brown;563679;SAS
15;Alex Garcia;366931;SAS
16;Shane Heal;75615;SAS
1;Jalen Rose;13279750;TOR
2;Vince Carter;11326219;TOR
3;Hakeem Olajuwon;6326923;TOR
4;Alvin Williams;5500000;TOR
5;Donyell Marshall;4605196;TOR
6;Lamond Murray;4500000;TOR
7;Eric Montross;2960000;TOR
8;Chris Bosh;2911320;TOR
9;Michael Curry;2800000;TOR
10;Nate Huffman;1760000;TOR
11;Morris Peterson;1646079;TOR
12;Jerome Moiso;1600000;TOR
13;Michael Bradley;1292040;TOR
14;Milt Palacio;688679;TOR
