Rk;Player;Salary;team
12;Gary Neal;525000;SAS
13;Steve Novak;350179;SAS
14;Ime Udoka;264232;SAS
15;Danny Green;94154;SAS
16;Alonzo Gee;76219;SAS
17;Bobby Simmons;71951;SAS
18;Garrett Temple;71736;SAS
19;Larry Owens;55718;SAS
1;Peja Stojakovic;14896000;TOR
2;Jose Calderon;9000000;TOR
3;Andrea Bargnani;8500000;TOR
4;Leandro Barbosa;7100000;TOR
5;Reggie Evans;5080000;TOR
6;Amir Johnson;5000000;TOR
7;Linas Kleiza;4995000;TOR
8;Julian Wright;2858057;TOR
9;DeMar DeRozan;2453880;TOR
10;Jerryd Bayless;2292600;TOR
11;Ed Davis;1919160;TOR
12;James Johnson;1713600;TOR
13;Alexis Ajinca;1467840;TOR
14;Joey Dorsey;854389;TOR
15;Sonny Weems;854389;TOR
16;Solomon Alabi;770000;TOR
17;Sundiata Gaines;89670;TOR
18;Trey Johnson;89670;TOR
19;Ronald Dupree;58393;TOR
1;Andrei Kirilenko;17823000;UTA
2;Al Jefferson;13000000;UTA
3;Mehmet Okur;9945000;UTA
4;Devin Harris;8981000;UTA
5;Paul Millsap;7600000;UTA
6;Derrick Favors;4133280;UTA
7;C.J. Miles;3700000;UTA
8;Raja Bell;3000000;UTA
9;Gordon Hayward;2356320;UTA
10;Ronnie Price;1380000;UTA
11;Earl Watson;1229255;UTA
12;Francisco Elson;1146337;UTA
13;Kyrylo Fesenko;1087500;UTA
14;Jeremy Evans;473604;UTA
1;Rashard Lewis;19573711;WAS
2;Andray Blatche;5900000;WAS
3;Mike Bibby;5564767;WAS
4;John Wall;5144280;WAS
5;Yi Jianlian;4050499;WAS
6;Josh Howard;3000000;WAS
7;Al Thornton;2814196;WAS
8;Nick Young;2630503;WAS
9;Maurice Evans;2500000;WAS
10;JaVale McGee;1601040;WAS
11;Kevin Seraphin;1563120;WAS
12;Trevor Booker;1204560;WAS
13;Jordan Crawford;1042320;WAS
14;Cartier Martin;854389;WAS
15;Hamady NDiaye;473604;WAS
16;Lester Hudson;192791;WAS
17;Alonzo Gee;125538;WAS
18;Mustafa Shakur;89670;WAS
