"g";"MANDANTE";"VISITANTE";"h";"a";"y1";"y2"
236;"São Paulo";"Flamengo";18;11;"2";"2"
237;"Fluminense";"Grêmio";12;14;"0";"0"
238;"Botafogo";"Goiás";4;13;"1";"0"
239;"Palmeiras";"Vitória";16;20;"2";"0"
240;"Atlético-MG";"Santos";1;17;"3";"2"
241;"Sport";"Cruzeiro";19;9;"0";"0"
242;"Chapecoense";"Criciúma";5;8;"1";"1"
243;"São Paulo";"Fluminense";18;12;"1";"3"
244;"Bahia";"Flamengo";3;11;"2";"1"
245;"Atlético-PR";"Corinthians";2;6;"1";"0"
246;"Botafogo";"Grêmio";4;14;"0";"2"
247;"Atlético-MG";"Vitória";1;20;"2";"0"
248;"Santos";"Goiás";17;13;"2";"0"
249;"Figueirense";"Palmeiras";10;16;"3";"1"
250;"Internacional";"Coritiba";15;7;"4";"2"
251;"Palmeiras";"Chapecoense";16;5;"4";"2"
252;"Vitória";"Botafogo";20;4;"2";"1"
253;"Coritiba";"Atlético-PR";7;2;"1";"0"
254;"Flamengo";"Santos";11;17;"0";"1"
255;"Fluminense";"Bahia";12;3;"1";"1"
256;"Grêmio";"São Paulo";14;18;"0";"1"
257;"Corinthians";"Sport";6;19;"3";"0"
258;"Cruzeiro";"Internacional";9;15;"2";"1"
259;"Criciúma";"Atlético-MG";8;1;"3";"1"
260;"Goiás";"Figueirense";13;10;"1";"0"
261;"São Paulo";"Atlético-PR";18;2;"1";"0"
262;"Coritiba";"Criciúma";7;8;"1";"0"
263;"Botafogo";"Palmeiras";4;16;"0";"1"
264;"Vitória";"Goiás";20;13;"2";"2"
265;"Figueirense";"Flamengo";10;11;"1";"2"
266;"Cruzeiro";"Corinthians";9;6;"0";"1"
267;"Grêmio";"Sport";14;19;"2";"0"
268;"Santos";"Bahia";17;3;"1";"0"
269;"Fluminense";"Atlético-MG";12;1;"0";"0"
270;"Chapecoense";"Internacional";5;15;"5";"0"
271;"Corinthians";"Botafogo";6;4;"1";"1"
272;"Goiás";"Coritiba";13;7;"3";"0"
273;"Palmeiras";"Grêmio";16;14;"2";"1"
274;"Bahia";"Chapecoense";3;5;"0";"1"
275;"Flamengo";"Cruzeiro";11;9;"3";"0"
276;"Atlético-MG";"São Paulo";1;18;"1";"0"
277;"Internacional";"Fluminense";15;12;"2";"1"
278;"Sport";"Vitória";19;20;"1";"2"
279;"Atlético-PR";"Figueirense";2;10;"3";"0"
280;"Criciúma";"Santos";8;17;"3";"0"
281;"Goiás";"Grêmio";13;14;"0";"0"
282;"Fluminense";"Criciúma";12;8;"4";"2"
283;"São Paulo";"Bahia";18;3;"2";"1"
284;"Atlético-MG";"Chapecoense";1;5;"1";"0"
285;"Figueirense";"Coritiba";10;7;"4";"0"
286;"Atlético-PR";"Flamengo";2;11;"2";"1"
287;"Palmeiras";"Santos";16;17;"1";"3"
288;"Internacional";"Corinthians";15;6;"1";"2"
289;"Botafogo";"Sport";4;19;"1";"1"
290;"Vitória";"Cruzeiro";20;9;"0";"1"
291;"Bahia";"Atlético-MG";3;1;"1";"1"
292;"Criciúma";"Atlético-PR";8;2;"0";"1"
293;"Cruzeiro";"Palmeiras";9;16;"1";"1"
294;"Corinthians";"Vitória";6;20;"2";"1"
295;"Flamengo";"Internacional";11;15;"2";"0"
296;"Coritiba";"Botafogo";7;4;"2";"0"
297;"Grêmio";"Figueirense";14;10;"1";"0"
298;"Santos";"Fluminense";17;12;"0";"1"
299;"Chapecoense";"São Paulo";5;18;"0";"0"
300;"Sport";"Goiás";19;13;"0";"1"
301;"Figueirense";"Cruzeiro";10;9;"1";"1"
302;"Palmeiras";"Corinthians";16;6;"1";"1"
303;"Fluminense";"Atlético-PR";12;2;"2";"1"
304;"Chapecoense";"Santos";5;17;"1";"1"
305;"Atlético-MG";"Sport";1;19;"3";"2"
306;"Vitória";"Criciúma";20;8;"3";"1"
307;"Coritiba";"Grêmio";7;14;"1";"1"
308;"Botafogo";"Flamengo";4;11;"2";"1"
309;"Internacional";"Bahia";15;3;"2";"0"
310;"São Paulo";"Goiás";18;13;"3";"0"
311;"Grêmio";"Vitória";14;20;"1";"0"
312;"Goiás";"Fluminense";13;12;"0";"2"
313;"Corinthians";"Coritiba";6;7;"2";"2"
314;"Criciúma";"São Paulo";8;18;"1";"2"
315;"Santos";"Internacional";17;15;"1";"2"
316;"Sport";"Figueirense";19;10;"1";"0"
317;"Cruzeiro";"Botafogo";9;4;"2";"1"
318;"Flamengo";"Chapecoense";11;5;"3";"0"
319;"Atlético-PR";"Atlético-MG";2;1;"1";"0"
320;"Bahia";"Palmeiras";3;16;"0";"1"
321;"Coritiba";"Fluminense";7;12;"1";"0"
322;"Palmeiras";"Atlético-MG";16;1;"0";"2"
323;"Botafogo";"Atlético-PR";4;2;"0";"2"
324;"Sport";"Flamengo";19;11;"2";"2"
325;"Vitória";"São Paulo";20;18;"1";"2"
326;"Figueirense";"Chapecoense";10;5;"1";"0"
327;"Grêmio";"Internacional";14;15;"4";"1"
328;"Cruzeiro";"Criciúma";9;8;"3";"1"
329;"Goiás";"Bahia";13;3;"3";"0"
330;"Corinthians";"Santos";6;17;"1";"0"
331;"Criciúma";"Grêmio";8;14;"0";"3"
332;"Fluminense";"Botafogo";12;4;"1";"0"
333;"Atlético-PR";"Sport";2;19;"0";"1"
334;"Flamengo";"Coritiba";11;7;"3";"2"
335;"Santos";"Cruzeiro";17;9;"0";"1"
336;"Bahia";"Corinthians";3;6;"1";"2"
337;"Internacional";"Goiás";15;13;"1";"0"
338;"São Paulo";"Palmeiras";18;16;"2";"0"
339;"Chapecoense";"Vitória";5;20;"0";"1"
340;"Atlético-MG";"Figueirense";1;10;"1";"1"
341;"São Paulo";"Internacional";18;15;"1";"1"
342;"Atlético-PR";"Santos";2;17;"1";"1"
343;"Botafogo";"Figueirense";4;10;"0";"1"
344;"Vitória";"Coritiba";20;7;"1";"1"
345;"Criciúma";"Bahia";8;3;"0";"1"
346;"Goiás";"Corinthians";13;6;"0";"1"
347;"Palmeiras";"Sport";16;19;"0";"2"
348;"Atlético-MG";"Flamengo";1;11;"4";"0"
349;"Fluminense";"Chapecoense";12;5;"1";"4"
350;"Grêmio";"Cruzeiro";14;9;"1";"2"
351;"Internacional";"Atlético-MG";15;1;"2";"1"
352;"Bahia";"Atlético-PR";3;2;"1";"2"
353;"Flamengo";"Criciúma";11;8;"1";"1"
354;"Santos";"São Paulo";17;18;"0";"1"
355;"Sport";"Fluminense";19;12;"2";"2"
356;"Cruzeiro";"Goiás";9;13;"2";"1"
357;"Figueirense";"Vitória";10;20;"2";"0"
358;"Corinthians";"Grêmio";6;14;"1";"0"
359;"Coritiba";"Palmeiras";7;16;"2";"0"
360;"Chapecoense";"Botafogo";5;4;"2";"0"
361;"Internacional";"Palmeiras";15;16;"3";"1"
362;"Criciúma";"Sport";8;19;"2";"2"
363;"Flamengo";"Vitória";11;20;"4";"0"
364;"São Paulo";"Figueirense";18;10;"1";"1"
365;"Santos";"Botafogo";17;4;"2";"0"
366;"Chapecoense";"Cruzeiro";5;9;"1";"1"
367;"Fluminense";"Corinthians";12;6;"5";"2"
368;"Atlético-PR";"Goiás";2;13;"1";"0"
369;"Bahia";"Grêmio";3;14;"1";"0"
370;"Atlético-MG";"Coritiba";1;7;"1";"2"
371;"Figueirense";"Internacional";10;15;"1";"2"
372;"Corinthians";"Criciúma";6;8;"2";"1"
373;"Coritiba";"Bahia";7;3;"3";"2"
374;"Botafogo";"Atlético-MG";4;1;"0";"0"
375;"Vitória";"Santos";20;17;"0";"1"
376;"Goiás";"Chapecoense";13;5;"4";"2"
377;"Sport";"São Paulo";19;18;"1";"0"
378;"Cruzeiro";"Fluminense";9;12;"2";"1"
379;"Grêmio";"Flamengo";14;11;"1";"1"
380;"Palmeiras";"Atlético-PR";16;2;"1";"1"
